,Adj Close,Close,High,Low,Open,Volume
1950-04-03,17.53,17.53,17.53,17.53,17.53,1570000.0
1950-04-04,17.55,17.55,17.55,17.55,17.55,2010000.0
1950-04-05,17.63,17.63,17.63,17.63,17.63,1430000.0
1950-04-06,17.78,17.78,17.78,17.78,17.78,2000000.0
1950-04-10,17.85,17.85,17.85,17.82,17.82,3160000.0
1950-04-11,17.75,17.75,17.75,17.75,17.75,2010000.0
1950-04-12,17.94,17.94,17.94,17.94,17.94,2010000.0
1950-04-13,17.98,17.98,17.98,17.98,17.98,2410000.0
1950-04-14,17.96,17.96,17.96,17.96,17.96,2750000.0
1950-04-17,17.88,17.88,17.88,17.86,17.86,3950000.0
1950-04-18,18.03,18.03,18.03,18.03,18.03,3320000.0
1950-04-19,18.05,18.05,18.05,18.05,18.05,2950000.0
1950-04-20,17.93,17.93,17.93,17.93,17.93,2590000.0
1950-04-21,17.96,17.96,17.96,17.96,17.96,2710000.0
1950-04-24,17.83,17.83,17.95,17.83,17.95,3570000.0
1950-04-25,17.83,17.83,17.83,17.83,17.83,1830000.0
1950-04-26,17.76,17.76,17.76,17.76,17.76,1880000.0
1950-04-27,17.86,17.86,17.86,17.86,17.86,2070000.0
1950-04-28,17.96,17.96,17.96,17.96,17.96,2190000.0
1950-05-01,18.22,18.22,18.22,18.07,18.07,3550000.0
1950-05-02,18.11,18.11,18.11,18.11,18.11,2250000.0
1950-05-03,18.27,18.27,18.27,18.27,18.27,2120000.0
1950-05-04,18.12,18.12,18.12,18.12,18.12,2150000.0
1950-05-05,18.22,18.22,18.22,18.22,18.22,1800000.0
1950-05-08,18.27,18.27,18.33,18.27,18.33,2590000.0
1950-05-09,18.27,18.27,18.27,18.27,18.27,1720000.0
1950-05-10,18.29,18.29,18.29,18.29,18.29,1880000.0
1950-05-11,18.29,18.29,18.29,18.29,18.29,1750000.0
1950-05-12,18.18,18.18,18.18,18.18,18.18,1790000.0
1950-05-15,18.26,18.26,18.26,18.2,18.2,1790000.0
1950-05-16,18.44,18.44,18.44,18.44,18.44,1730000.0
1950-05-17,18.52,18.52,18.52,18.52,18.52,2020000.0
1950-05-18,18.56,18.56,18.56,18.56,18.56,5240000.0
1950-05-19,18.68,18.68,18.68,18.68,18.68,2110000.0
1950-05-22,18.6,18.6,18.71,18.6,18.71,2520000.0
1950-05-23,18.71,18.71,18.71,18.71,18.71,1460000.0
1950-05-24,18.69,18.69,18.69,18.69,18.69,1850000.0
1950-05-25,18.69,18.69,18.69,18.69,18.69,1480000.0
1950-05-26,18.67,18.67,18.67,18.67,18.67,1330000.0
1950-05-29,18.72,18.72,18.72,18.65,18.65,1580000.0
1950-05-31,18.78,18.78,18.78,18.78,18.78,1530000.0
1950-06-01,18.77,18.77,18.77,18.77,18.77,1580000.0
